,Row1:,"date,site and table, data box fileid, and outfolder boxid (separated by underscore, if necessary)",date:,7142021,site:,Sanford_,table:,table,testing data file id:,8.34E+11,save error report to box folder id:,1.38E+11,,,
Compensation to participate is not high enough,state_d_706283025_d_405352246,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not think they are eligible,state_d_706283025_d_755545718,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Opposed to genetic testing,state_d_706283025_d_831137710,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Too sick/poor health to join,state_d_706283025_d_496935183,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not have reliable access to internet,d_121430614,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not like to do things online,state_d_706283025_d_836460125,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Worried the study might find something concerning about them,state_d_706283025_d_163534562,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not want to provide information online,state_d_706283025_d_331787113,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not want to complete surveys,state_d_706283025_d_705732561,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not want to provide access to EMR/medical history information or diagnoses,state_d_706283025_d_381509125,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not trust the government,state_d_706283025_d_497530905,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not trust research/researchers,state_d_706283025_d_627995442,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Does not want their information shared with other researchers,state_d_706283025_d_208102461,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Worried information will not be secure or there will be a data breach,state_d_706283025_d_579618065,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
"Privacy: Worried about data being given to insurance company, effects on insurance (health, life, other)",state_d_706283025_d_702433259,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Worried about data being given to employer/potential employer,d_990579614,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Worried that their information could be used to discriminate against them/their family,d_131458944,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Worried that their information will be used by others to make a profit,d_372303208,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Privacy: Other privacy concerns,state_d_706283025_d_566047367,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Concerned about COVID-19,state_d_706283025_d_400259098,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Refused MyChart Invitation,state_d_706283025_d_260703126,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Person is unable to participate or deceased (family member reaches out to study),state_d_706283025_d_744197145,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Reason not given,state_d_706283025_d_950040334,valid,"104430631, 353358909,NA",,,,,,,Yes,"Default will be set to """"""""""""""""No"""""""""""""""" when an eligible participant becomes an active recruit. When the Recruitment SOP annual maximum number of pre-consent contact attempts reached send a """"""""""""""""Yes"""""""""""""""" for that variable through to submitParticipantsData API call. Such updates can be made in real-time or in weekly batches.",,,,
Max number of contacts reached for cycle,state_d_875549268,valid,"104430631, 353358909,NA",,,,,,,Yes,"Default is zero at time token/pin assigned to recruit. For passive recruits both RcrtSI_SignedIn_v1r0 equals 1 and token assigned occur in the same step, which is after selection of site. Once a passive recruit has a token, all subsequent flags can be populated with the default and updated as the participant proceeds.",,,,
Signed-in,d_230663853,valid,"104430631, 353358909,NA",,,,,,,Yes if RcrtSI_SignedIn_v1r0 = 1,ISO format to be converted to SAS,,,,
Time sign-in occurred,d_335767902,NA or dateTime,,,,,,,,No,"Default is 0, RcrtES_noPIN_v1r0 equals 1 if I do not have a PIN"" button selected",,,,
No PIN,d_828729648,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
PIN entered,d_379080287,NA or equal to or less than char(),6,,,,,,,No,"Default equals 0 for anyone assigned a PIN, until PIN is entered in PWA. If valid PIN not entered, participant is a passive recruit and RcrtES_PINmatch_v1r0 equals 0.",,,,
PIN match,d_948195369,valid,"353358909, 104430631, NA",,,,,,,Yes - if there is not a valid token or PIN,The National Cancer Institute is included as a site for testing purposes only.,,,,
Site,d_827220437,crossValid1,"531629870, 548392715, 125001209, 327912200, 300267574, 452412599, 303349821, 657167265, 809703864, 517700004, 181769837",d_512820379,854703046,,,,,No,,,,,
Email or text invitation,d_142654897_d_461488577,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Letter or brochure in mail,d_142654897_d_942255248,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Invitation through my patient portal (such as MyChart),d_142654897_d_607081902,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Phone call invitation,d_142654897_d_639721694,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Physician or other health care staff,d_142654897_d_196856782,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Connect research staff at my health care system,d_142654897_d_177402915,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
News article or press release about Connect,d_142654897_d_791389099,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Health care system newsletter,d_142654897_d_684726272,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Health care system website,d_142654897_d_241590841,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Connect website on Cancer.gov,d_142654897_d_206879104,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
"Social media post (on Facebook, Twitter, Instagram, or other channels)",d_142654897_d_642287621,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
"Local news, television, or radio station",d_142654897_d_520301146,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Video,d_142654897_d_285130077,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Family or friend,d_142654897_d_549687190,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Another Connect participant,d_142654897_d_326825649,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
"Poster, flyer, or sign at my health care system",d_142654897_d_819377306,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Connect table at public event,d_142654897_d_829269606,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Recorded message,d_142654897_d_967372009,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Other,d_142654897_d_462314689,valid,"353358909, 104430631, NA",,,,,,,Yes,Other version codes to be added as needed.,,,,
HIPAA Version,d_412000022,NA or equal to or less than char(),11,,,,,,,Yes,,,,,
HIPAA Authorization,d_558435199,valid,"353358909, 104430631, NA",d_558435199,353358909,,,,,Yes if RcrtCS_HIPAAAuth_v1r0 = 1,ISO to be converted to SAS format,,,,
Date/Time of HIPAA Authorization,d_262613359,NA or dateTime,,,,,,,,Yes,Other version codes to be added as needed.,,,,
Consent Version,d_454205108,NA or equal to or less than char(),11,,,,,,,Yes,"Default equals 0, RcrtCS_acknowledge_v1r0 equals 1 after box checked",,,,
First Name,d_471168198,NA or equal to or less than char(),50,,,,,,,Yes,Legal first name for all non-KP sites. For KP sites it is their ID card name.,,,,
Last Name,d_736251808,NA or equal to or less than char(),50,,,,,,,Yes,Legal last name for all non-KP sites. For KP sites it is their ID card name.,,,,
Middle Name,d_436680969,NA or equal to or less than char(),50,,,,,,,No,Legal middle name for all non-KP sites. For KP sites it is their ID card name.,,,,
Suffix,d_480305327,valid,"612166858, 255907182, 226924545, 270793412, 959021713, 643664527, 537892528, NA",,,,,,,No,Additional options may be added later.,,,,
Participant Consent Date,d_982402227,NA or date,,,,,,,,Yes if RcrtCS_Consented_v1r0 = 1,,,,,
Time consent submitted,d_454445267,crossValid1 equal to or less than char(),24,d_919254129,353358909,,,,,Yes if RcrtCS_Consented_v1r0 = 1,ISO to be converted to SAS format,,,,
Consent submitted,d_919254129,valid,"353358909, 104430631, NA",,,,,,,Yes,Default automatically set to equal 0 when PIN/Token assigned.,,,,
Account UserID,d_492983562,NA or equal to or less than char(),240,,,,,,,Yes,,,,,
Account Email,d_421823980,NA or equal to or less than char(),120,,,,,,,Yes if no phone,,,,,
Account phone,d_348474836,NA or equal to or less than char(),10,,,,,,,,phone should be 10 characters long (added 0527 by Lorena),,,,
Account phone,d_348474836,custom,phone should not be missing if email missing and consent submitted,missing phone value(s) found,"connectData$d_919254129==353358909 & (connectData$d_348474836 == """" | is.na(connectData$d_348474836)) & (is.na(connectData$d_421823980) | connectData$d_421823980 == """" )",,,,,Yes if no email and consented (update in dictionary added 0527 by Lorena),"phone should be present in consent submitted = yes and email is missing. Custom rule looks for the error: phone = NA or """"  when email missing and consent submitted = ""yes"".",,,,
Account Name,d_756862764,NA or equal to or less than char(),50,,,,,,,Yes,,,,,
Account Sign-in Mechanism,d_995036844,valid,"943488874, 101178950, 804918759",,,,,,,Yes,,,,,
First Name,d_399159511,NA or equal to or less than char(),50,,,,,,,Yes,"Populated from RcrtCS_Fname_v1r0, cannot be edited until after verification.",,,,
Middle Name,d_231676651,NA or equal to or less than char(),1,,,,,,,No,"Populated from RcrtCS_Mname_v1r0, cannot be edited until after verification.",,,,
Last Name,d_996038075,NA or equal to or less than char(),50,,,,,,,Yes,"Populated from RcrtCS_Lname_v1r0, cannot be edited until after verification.",,,,
Suffix,d_506826178,valid,"612166858, 255907182, 226924545, 270793412, 959021713, 643664527, 537892528, NA",,,,,,,No,Populated from RcrtCS_Suffix_v1r0. Additional options may be added later.,,,,
Preferred Name,d_153211406,NA or equal to or less than char(),50,,,,,,,No,Collected in user profile. Displayed on check-in screens for Biospecimens.,,,,
Birth Month,d_564964481,NA or equal to or less than char(),2,,,,,,,Yes,Variable will be populated by a drop down menu with values from 1 to 12,,,,
Birth Day,d_795827569,NA or equal to or less than char(),2,,,,,,,Yes,"Variable will be populated by a drop down with values from 1 to 31. DOB is being saved for the derived single date variable that will be created from MOB, BD and YOB.",,,,
Birth Year,d_544150384,NA or equal to or less than char(),4,,,,,,,Yes,Field will require a 4 digit response.,,,,
Date of Birth,d_371067537,NA or equal to or less than char(),8,,,,,,,Yes,,,,,
User Profile derived age,d_117249500,NA or equal to or less than char(),3,,,,,,,Yes,,,,,
Mobile phone,d_388711124,NA or equal to char(),10,,,,,,,Yes if no other phone number given,"Type and length are based on a numbers only format, no dashes",PII available after consent,,,
Mobile voicemail,d_271757434,valid,"353358909, 104430631, NA",d_438643922,NA,,,,,No,,,,,
Text,d_646873644,valid,"353358909, 104430631, NA",,,,,,,Yes,,,,,
Home phone,d_438643922,NA or equal to char(),10,,,,,,,"Yes, if no other phone number given","Type and length are based on a numbers only format, no dashes",PII available after consent,,,
Home voicemail,d_187894482,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Other phone,d_793072415,NA or equal to or less than char(),10,,,,,,,"Yes, if no other phone number given",,PII available after consent,,,
Other voicemail,d_983278853,valid,"353358909, 104430631, NA",,,,,,,No,,,,,
Preferred email,d_869588347,crossValid1 equal to or less than char(),120,d_699625233,353358909,,,,,Yes,,PII available after consent,,,
Additional email 1,d_849786503,crossValid1 equal to or less than char(),120,d_699625233,353358909,,,,,No,,PII available after consent,,,
Additional email 2,d_635101039,crossValid1 equal to or less than char(),120,d_699625233,353358909,,,,,No,,PII available after consent,,,
Additional email 3,d_714419972,crossValid1 equal to or less than char(),120,d_699625233,353358909,,,,,No,,PII available after consent,,,
Preferred contact method,d_524461170,valid,"357184057, 127547625, NA

",d_699625233,353358909,,,,,Yes if both mobile phone and email given,"Question does not appear if only mobile phone OR email given, but not both",,,,
Address line 1,d_521824358,crossValid1 equal to or less than char(),70,d_699625233,353358909,,,,,Yes,Populated from Google Addresses,PII available after consent,,,
Address line 2,d_442166669,crossValid1 equal to or less than char(),70,d_699625233,353358909,,,,,No,Populated from Google Addresses,PII available after consent,,,
City,d_703385619,crossValid1 equal to or less than char(),45,d_699625233,353358909,,,,,Yes,Populated from Google Addresses,PII available after consent,,,
State,d_634434746,crossValid1 equal to or less than char(),48,d_699625233,353358909,,,,,Yes,Populated from Google Addresses,PII available after consent,,,
Zip,d_892050548,crossValid1 equal to or less than char(),5,d_699625233,353358909,,,,,Yes,Populated from Google Addresses,PII available after consent,,,
Previous Cancer,d_452166062,crossValid1,"353358909, 104430631, NA",d_699625233,353358909,,,,,No,,,,,
Cancer Year,d_650597106,NA or equal to or less than char(),4,,,,,,,No,Only shown if answer to RcrtUP_Cancer_v1r0 equals 1,,,,
Cancer Type,d_266952173,NA or equal to or less than char(),800,,,,,,,No,Only shown if answer to RcrtUP_Cancer_v1r0 equals 1.,PII available after consent,,,
Cancer Comments,d_494982282,NA or equal to or less than char(),800,,,,,,,No,Only shown if answer to RcrtUP_Cancer_v1r0 equals 1.,PII available after consent,,,
User Profile submitted,d_699625233,valid,"353358909, 104430631, NA",,,,,,,Yes,,,,,
Time User Profile submitted,d_430551721,NA or equal to or less than char(),24,,,,,,,Yes if RcrtUP_Submitted_v1r0 = 1,ISO to be converted to SAS format,,,,
Time from account to consent,d_204002618,NA or equal to or less than char(),18,,,,,,,Yes,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",,,,
Time from consent to user profile,d_765924958,NA or equal to or less than char(),18,,,,,,,Yes,"Can be further derived to other time units (e.g. hours + fractions of hours) or as multiple time variables (e.g. hours, minutes, and seconds)",,,,
Verification status,d_821247024,valid,"875007964, 197316935, 219863910, 922622075, 160161595, NA",,,,,,,Yes,"Default, Not yet verified - 0, assigned at submission of StudyIDs from sites for active recruits and when token is assigned from passive recruits. Updates will be received from the sites as part of the verification table.",,,,
Verification status time,d_914594314,NA or equal to or less than char(),24,,,,,,,Yes if RcrtV_Verification_v1r0 =0 or 1 or 2 or 3 or 4,ISO to be converted to SAS format,,,,
Verification status month,d_139603724,NA or equal to char(),2,,,,,,,Yes if RcrtV_Verification_v1r0 =0 or 1 or 2 or 3 or 4,MONTHw. SAS format,,,,
Automated verification,state_d_444699761,valid,"734437214, 426360242, NA",,,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
Outreach required for Verification,state_d_188797763,valid,"353358909, 104430631, NA",,,,,,,Yes,Sent as part of the verification table from IHCS. Should not = Yes when only Automated verification is used,,,,
Manual verification,state_d_953614051,valid,"734437214, 426360242, NA",,,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
Duplicate type,state_d_148197146,valid,"638335430, 654558118, NA",,,,,,,If RcrtV_Verification_v1r0 = 3,Sent as part of the verification table from the IHCS.,,,,
Update recruit type,state_d_793822265,crossValid1,"132080040, 854903954, 965707001, NA, 604663208",d_821247024,922622075,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
First Name Match,state_d_147176963,valid,"356674370, 219803804, NA",,,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
Last Name Match,state_d_557461333,valid,"356674370, 219803804, NA",,,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
DOB Match,state_d_725929722,valid,"356674370, 219803804, NA",,,,,,,Yes,Sent as part of the verification table from the IHCS.,,,,
PIN Match,state_d_711794630,valid,"356674370, 219803804, NA",,,,,,,Yes for some sites,"Sent as part of the verification table for HFHS , KP and Sanford.",,,,
Token Match,state_d_679832994,crossValid1,"356674370, 219803804,  NA",d_827220437,"548392715, 125001209, 327912200, 300267574, 452412599, 657167265




",,,,,Yes for some sites,Sent as part of the verification table for HFHS and KP.,,,,
Duplicate type,state_d_148197146,crossValid1,"638335430, 654558118, 283434980, 866029623, 979256174",d_821247024,922622075,,,,,,, duplicate type is required only if verif =3 (duplicate),,,
Duplicate type,state_d_148197146,crossValid1,NA,d_821247024,"875007964, 197316935, 219863910, 160161595",,,,,,,"08/03: If verification != duplicate, but instead equal to either ""not yet verif"", ""verif"", ""cannot be verified"", or ""outreach timed out"", then ""Duplicate type"" should be NA",,,
Outreach required for manual verification,state_d_188797763,crossValid1,104430631,state_d_444699761,426360242,,,,,,,"08/03: Outreach required has to be sent, has to be no if automatic verification",,,
Site reported sex,state_d_706256705,crossValid2,"536341288, 654207589, 830573274, 178420302",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,"07/15: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
Site reported age at recruitment,state_d_934298480,crossValid2,"124276120, 450985724, 363147933, 636706443, 771230670",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,"07/15: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
Site reported race/ethnicity,state_d_849518448,crossValid2,"768826601, 181769837, 178420302",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,"07/15: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
Sanford Health Reported Race,state_d_119643471,crossValid3,"232334767, 211228524, 308427446, 635279662, 432722256, 232663805, 785578696, 200929978, 490725843, 965998904, 986445321, 746038746, 178420302",d_827220437,657167265,d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,"07/14: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
Henry Ford Health System Reported Race,state_d_684926335,crossValid3,"232334767, 635279662, 401335456, 178420302",d_827220437,548392715,d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,"07/14: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
KP reported sex,d_678756255,crossValid3,"536341288, 654207589, 395528052, 181769837, 178420302",d_827220437,"125001209, 327912200, 300267574, 452412599",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,"07/14: Check for deidentified variables (race, sex, age, member) if verification status = verified, and recruitment = passive or active changes based on site.",,,
